ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDL/H:1/COM,51.0,9099337.0,2274835.0,3184767.0,3639734.0,6578.0,0.0,729.55,75.2,169.19
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDL/H:2/COM,39.0,15251568.0,3812891.0,5338049.0,6100627.0,9866.0,0.0,1094.24,112.78,253.75
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDL/H:3/COM,42.0,32108248.0,8027062.0,11237888.0,12843300.0,18972.0,0.0,2104.15,216.87,487.95000000000005
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDL/HBET:4-7/COM,40.0,98035832.0,24508958.0,34312542.0,39214332.0,48569.0,0.0,5386.71,555.18,1249.2
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDL/HBET:8-/COM,5.0,33476753.0,8369188.0,11716864.0,13390701.0,14298.0,0.0,1585.77,163.45,367.74
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDM/H:1/COM,16.0,2892345.0,723086.0,1012319.0,1156937.0,2099.0,0.0,232.8,23.990000000000002,53.99
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDM/H:2/COM,12.0,4872704.0,1218176.0,1705447.0,1949081.0,3148.0,0.0,349.14,35.99,80.97
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDM/H:3/COM,14.0,10206450.0,2551612.0,3572258.0,4082580.0,6055.0,0.0,671.55,69.22,155.74
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDM/HBET:4-7/COM,13.0,31177081.0,7794271.0,10911979.0,12470833.0,15501.0,0.0,1719.19,177.2,398.67999999999995
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LDUAL+CDM/HBET:8-/COM,1.0,7597328.0,1899332.0,2659065.0,3038931.0,3486.0,0.0,386.63,39.85,89.66
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDL/H:1/COM,94.0,17281928.0,4320482.0,6048675.0,6912772.0,12274.0,0.0,1361.29,140.3,315.69
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDL/H:2/COM,70.0,28326735.0,7081684.0,9914358.0,11330694.0,18411.0,0.0,2041.9299999999998,210.46,473.54
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDL/H:3/COM,78.0,60970756.0,15242688.0,21339764.0,24388302.0,35404.0,0.0,3926.59,404.70000000000005,910.5899999999999
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDL/HBET:4-7/COM,75.0,185804921.0,46451229.0,65031723.0,74321968.0,90633.0,0.0,10051.93,1036.03,2331.08
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDL/HBET:8-/COM,9.0,66496030.0,16624008.0,23273611.0,26598412.0,28145.0,0.0,3121.51,321.73,723.9000000000001
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDM/H:1/COM,31.0,5760642.0,1440162.0,2016224.0,2304257.0,4092.0,0.0,453.83,46.78,105.25
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDM/H:2/COM,24.0,9442245.0,2360561.0,3304785.0,3776898.0,6137.0,0.0,680.6500000000001,70.16,157.84
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDM/H:3/COM,26.0,20323584.0,5080896.0,7113255.0,8129433.0,11800.0,0.0,1308.71,134.88,303.49
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDM/HBET:4-7/COM,25.0,61934975.0,15483743.0,21677242.0,24773988.0,30211.0,0.0,3350.6499999999996,345.34000000000003,777.04
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LFINF+CDM/HBET:8-/COM,3.0,16402476.0,4100619.0,5740867.0,6560991.0,7287.0,0.0,808.19,83.3,187.42000000000002
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDL/H:1/COM,51.0,9099337.0,2274835.0,3184767.0,3639734.0,6578.0,0.0,729.55,75.2,169.19
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDL/H:2/COM,39.0,15251568.0,3812891.0,5338049.0,6100627.0,9866.0,0.0,1094.24,112.78,253.75
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDL/H:3/COM,42.0,32108248.0,8027062.0,11237888.0,12843300.0,18972.0,0.0,2104.15,216.87,487.95000000000005
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDL/HBET:4-7/COM,40.0,98035832.0,24508958.0,34312542.0,39214332.0,48569.0,0.0,5386.71,555.18,1249.2
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDL/HBET:8-/COM,5.0,33476753.0,8369188.0,11716864.0,13390701.0,14298.0,0.0,1585.77,163.45,367.74
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDM/H:1/COM,16.0,2892345.0,723086.0,1012319.0,1156937.0,2099.0,0.0,232.8,23.990000000000002,53.99
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDM/H:2/COM,12.0,4872704.0,1218176.0,1705447.0,1949081.0,3148.0,0.0,349.14,35.99,80.97
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDM/H:3/COM,14.0,10206450.0,2551612.0,3572258.0,4082580.0,6055.0,0.0,671.55,69.22,155.74
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDM/HBET:4-7/COM,13.0,31177081.0,7794271.0,10911979.0,12470833.0,15501.0,0.0,1719.19,177.2,398.67999999999995
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,CR/LWAL+CDM/HBET:8-/COM,1.0,7597328.0,1899332.0,2659065.0,3038931.0,3486.0,0.0,386.63,39.85,89.66
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MCF/LWAL+CDL/H:1/COM,102.0,16798776.0,6719511.0,4199694.0,5879571.0,13154.0,0.0,1458.8899999999999,150.36,338.33000000000004
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MCF/LWAL+CDL/H:2/COM,102.0,37542320.0,15016927.0,9385580.0,13139812.0,26307.0,0.0,2917.66,300.72,676.63
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MCF/LWAL+CDL/HBET:3-6/COM,40.0,67870961.0,27148384.0,16967739.0,23754835.0,36427.0,0.0,4040.0600000000004,416.4,936.9
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MCF/LWAL+CDM/H:1/COM,35.0,5599591.0,2239837.0,1399897.0,1959857.0,4386.0,0.0,486.45,50.14,112.80000000000001
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MCF/LWAL+CDM/H:2/COM,35.0,12514108.0,5005643.0,3128527.0,4379937.0,8768.0,0.0,972.4399999999999,100.22999999999999,225.52
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MCF/LWAL+CDM/HBET:3-6/COM,13.0,21584134.0,8633653.0,5396032.0,7554447.0,11625.0,0.0,1289.3,132.88,299.0
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MR+CB/LWAL+CDL/H:1/COM,343.0,56288477.0,22515392.0,14072118.0,19700967.0,44515.0,0.0,4937.07,508.85,1144.94
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MR+CB/LWAL+CDL/H:2/COM,228.0,84913218.0,33965288.0,21228304.0,29719626.0,59351.0,0.0,6582.52,678.4399999999999,1526.5
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MR+CB/LWAL+CDL/HBET:3-6/COM,68.0,113844182.0,45537671.0,28461045.0,39845464.0,61635.0,0.0,6835.81,704.55,1585.25
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MR+CB/LWAL+CDM/H:1/COM,115.0,18762826.0,7505132.0,4690707.0,6566989.0,14838.0,0.0,1645.6599999999999,169.62,381.63
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MR+CB/LWAL+CDM/H:2/COM,75.0,28304406.0,11321763.0,7076101.0,9906542.0,19784.0,0.0,2194.21,226.14000000000001,508.85
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MR+CB/LWAL+CDM/HBET:3-6/COM,22.0,36778601.0,14711439.0,9194650.0,12872510.0,19965.0,0.0,2214.28,228.22,513.5
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MUR+CB/LWAL+CDN/H:1/COM,459.0,75159068.0,30063627.0,18789767.0,26305673.0,59428.0,0.0,6591.06,679.3199999999999,1528.48
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MUR+CB/LWAL+CDN/H:2/COM,305.0,113217626.0,45287050.0,28304406.0,39626169.0,79135.0,0.0,8776.720000000001,904.6100000000001,2035.35
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,92.0,151792242.0,60716896.0,37948062.0,53127286.0,82179.0,0.0,9114.32,939.4100000000001,2113.64
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDL/H:1/COM,31.0,6284337.0,1256868.0,2199519.0,2827952.0,4092.0,0.0,453.83,46.78,105.25
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDL/H:2/COM,24.0,10300630.0,2060126.0,3605221.0,4635284.0,6137.0,0.0,680.6500000000001,70.16,157.84
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDL/H:3/COM,26.0,22171183.0,4434236.0,7759915.0,9977033.0,11800.0,0.0,1308.71,134.88,303.49
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDL/HBET:4-7/COM,25.0,67565426.0,13513085.0,23647899.0,30404442.0,30211.0,0.0,3350.6499999999996,345.34000000000003,777.04
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDL/HBET:8-/COM,3.0,17893611.0,3578722.0,6262764.0,8052125.0,7287.0,0.0,808.19,83.3,187.42000000000002
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDM/H:1/COM,9.0,1941213.0,388243.0,679425.0,873546.0,1271.0,0.0,140.95999999999998,14.52,32.69
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDM/H:2/COM,8.0,3203196.0,640639.0,1121118.0,1441438.0,1905.0,0.0,211.26999999999998,21.78,49.0
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDM/H:3/COM,9.0,6848979.0,1369795.0,2397142.0,3082040.0,3664.0,0.0,406.37,41.879999999999995,94.24000000000001
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDM/HBET:4-7/COM,8.0,20883777.0,4176755.0,7309323.0,9397699.0,9381.0,0.0,1040.43,107.24,241.28000000000003
OMN,Oman,OMN-ADM1-1590546715-B1,Dhofar,Total,Com,S/LFM+CDM/HBET:8-/COM,1.0,4143997.0,828799.0,1450399.0,1864799.0,1743.0,0.0,193.31,19.92,44.83
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDL/H:1/COM,90.0,16148327.0,4037083.0,5651916.0,6459332.0,11673.0,0.0,1283.58,132.29,297.67
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDL/H:2/COM,67.0,27066511.0,6766627.0,9473279.0,10826605.0,17509.0,0.0,1925.31,198.44,446.48
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDL/H:3/COM,75.0,56981572.0,14245392.0,19943550.0,22792628.0,33671.0,0.0,3702.52,381.61,858.6299999999999
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDL/HBET:4-7/COM,71.0,173981327.0,43495331.0,60893464.0,69592531.0,86195.0,0.0,9478.130000000001,976.9000000000001,2198.02
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDL/HBET:8-/COM,9.0,64598865.0,16149717.0,22609603.0,25839546.0,27509.0,0.0,3024.94,311.78,701.49
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDM/H:1/COM,30.0,5382776.0,1345695.0,1883972.0,2153110.0,3891.0,0.0,427.86,44.1,99.21
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDM/H:2/COM,22.0,8868378.0,2217095.0,3103932.0,3547352.0,5734.0,0.0,630.51,64.99,146.22
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDM/H:3/COM,25.0,18632383.0,4658095.0,6521334.0,7452953.0,11029.0,0.0,1212.76,125.0,281.24
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDM/HBET:4-7/COM,24.0,56900148.0,14225037.0,19915053.0,22760060.0,28230.0,0.0,3104.2200000000003,319.95,719.88
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LDUAL+CDM/HBET:8-/COM,2.0,13482756.0,3370689.0,4718964.0,5393102.0,6186.0,0.0,680.22,70.11,157.75
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDL/H:1/COM,169.0,30773328.0,7693331.0,10770666.0,12309330.0,21849.0,0.0,2402.56,247.62,557.1600000000001
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDL/H:2/COM,126.0,50270629.0,12567658.0,17594720.0,20108251.0,32671.0,0.0,3592.55,370.28000000000003,833.12
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDL/H:3/COM,140.0,108203019.0,27050754.0,37871057.0,43281208.0,62829.0,0.0,6908.77,712.0699999999999,1602.16
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDL/HBET:4-7/COM,134.0,329742569.0,82435641.0,115409900.0,131897027.0,160844.0,0.0,17686.64,1822.92,4101.6
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDL/HBET:8-/COM,16.0,123265685.0,30816421.0,43142990.0,49306274.0,52110.0,0.0,5730.1,590.59,1328.83
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDM/H:1/COM,56.0,10223244.0,2555812.0,3578136.0,4089298.0,7261.0,0.0,798.43,82.3,185.16
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDM/H:2/COM,43.0,16756876.0,4189219.0,5864907.0,6702750.0,10891.0,0.0,1197.58,123.44,277.72
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDM/H:3/COM,47.0,36067672.0,9016918.0,12623686.0,14427069.0,20943.0,0.0,2302.93,237.36,534.06
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDM/HBET:4-7/COM,44.0,109914189.0,27478547.0,38469966.0,43965676.0,53615.0,0.0,5895.59,607.6500000000001,1367.21
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LFINF+CDM/HBET:8-/COM,5.0,34297644.0,8574411.0,12004176.0,13719057.0,15068.0,0.0,1656.9,170.76999999999998,384.24
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDL/H:1/COM,90.0,16148327.0,4037083.0,5651916.0,6459332.0,11673.0,0.0,1283.58,132.29,297.67
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDL/H:2/COM,67.0,27066511.0,6766627.0,9473279.0,10826605.0,17509.0,0.0,1925.31,198.44,446.48
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDL/H:3/COM,75.0,56981572.0,14245392.0,19943550.0,22792628.0,33671.0,0.0,3702.52,381.61,858.6299999999999
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDL/HBET:4-7/COM,71.0,173981327.0,43495331.0,60893464.0,69592531.0,86195.0,0.0,9478.130000000001,976.9000000000001,2198.02
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDL/HBET:8-/COM,9.0,64598865.0,16149717.0,22609603.0,25839546.0,27509.0,0.0,3024.94,311.78,701.49
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDM/H:1/COM,30.0,5382776.0,1345695.0,1883972.0,2153110.0,3891.0,0.0,427.86,44.1,99.21
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDM/H:2/COM,22.0,8868378.0,2217095.0,3103932.0,3547352.0,5734.0,0.0,630.51,64.99,146.22
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDM/H:3/COM,25.0,18632383.0,4658095.0,6521334.0,7452953.0,11029.0,0.0,1212.76,125.0,281.24
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDM/HBET:4-7/COM,24.0,56900148.0,14225037.0,19915053.0,22760060.0,28230.0,0.0,3104.2200000000003,319.95,719.88
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,CR/LWAL+CDM/HBET:8-/COM,2.0,13482756.0,3370689.0,4718964.0,5393102.0,6186.0,0.0,680.22,70.11,157.75
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MCF/LWAL+CDL/H:1/COM,180.0,29812298.0,11924920.0,7453073.0,10434305.0,23345.0,0.0,2567.05,264.58,595.31
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MCF/LWAL+CDL/H:2/COM,180.0,66625258.0,26650104.0,16656314.0,23318840.0,46688.0,0.0,5133.88,529.13,1190.57
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MCF/LWAL+CDL/HBET:3-6/COM,71.0,120448610.0,48179443.0,30112153.0,42157013.0,64646.0,0.0,7108.58,732.67,1648.5
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MCF/LWAL+CDM/H:1/COM,61.0,9937434.0,3974973.0,2484357.0,3478102.0,7782.0,0.0,855.72,88.19,198.45
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MCF/LWAL+CDM/H:2/COM,61.0,22208419.0,8883368.0,5552106.0,7772947.0,15563.0,0.0,1711.32,176.37,396.87
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MCF/LWAL+CDM/HBET:3-6/COM,24.0,39392411.0,15756964.0,9848103.0,13787343.0,21173.0,0.0,2328.21,239.96,539.94
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MR+CB/LWAL+CDL/H:1/COM,608.0,100036954.0,40014782.0,25009238.0,35012935.0,79100.0,0.0,8697.95,896.48,2017.08
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MR+CB/LWAL+CDL/H:2/COM,406.0,150884260.0,60353703.0,37721065.0,52809491.0,105466.0,0.0,11597.2,1195.3,2689.4300000000003
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MR+CB/LWAL+CDL/HBET:3-6/COM,121.0,202035944.0,80814378.0,50508986.0,70712581.0,109381.0,0.0,12027.69,1239.67,2789.26
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MR+CB/LWAL+CDM/H:1/COM,202.0,33297839.0,13319136.0,8324460.0,11654244.0,26333.0,0.0,2895.61,298.44,671.5
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MR+CB/LWAL+CDM/H:2/COM,135.0,50231004.0,20092402.0,12557750.0,17580852.0,35110.0,0.0,3860.74,397.90999999999997,895.31
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MR+CB/LWAL+CDM/HBET:3-6/COM,40.0,66493548.0,26597419.0,16623387.0,23272742.0,36037.0,0.0,3962.6800000000003,408.41999999999996,918.96
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MUR+CB/LWAL+CDN/H:1/COM,812.0,133382606.0,53353042.0,33345651.0,46683912.0,105466.0,0.0,11597.2,1195.3,2689.4300000000003
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MUR+CB/LWAL+CDN/H:2/COM,542.0,201179012.0,80471604.0,50294754.0,70412655.0,140622.0,0.0,15463.0,1593.73,3585.92
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,163.0,269381260.0,107752504.0,67345315.0,94283442.0,145840.0,0.0,16036.77,1652.8899999999999,3718.9800000000005
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDL/H:1/COM,56.0,11152631.0,2230527.0,3903421.0,5018683.0,7261.0,0.0,798.43,82.3,185.16
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDL/H:2/COM,43.0,18280228.0,3656045.0,6398081.0,8226103.0,10891.0,0.0,1197.58,123.44,277.72
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDL/H:3/COM,47.0,39346551.0,7869311.0,13771293.0,17705947.0,20943.0,0.0,2302.93,237.36,534.06
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDL/HBET:4-7/COM,44.0,119906388.0,23981277.0,41967234.0,53957874.0,53615.0,0.0,5895.59,607.6500000000001,1367.21
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDL/HBET:8-/COM,5.0,37415613.0,7483123.0,13095464.0,16837026.0,15068.0,0.0,1656.9,170.76999999999998,384.24
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDM/H:1/COM,20.0,3717544.0,743510.0,1301141.0,1672895.0,2420.0,0.0,266.11,27.43,61.71
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDM/H:2/COM,14.0,5925637.0,1185126.0,2073973.0,2666537.0,3528.0,0.0,387.94,39.980000000000004,89.97
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDM/H:3/COM,15.0,12721181.0,2544236.0,4452414.0,5724532.0,6786.0,0.0,746.2,76.9,173.04
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDM/HBET:4-7/COM,15.0,38775749.0,7755149.0,13571512.0,17449087.0,17371.0,0.0,1910.14,196.87,442.97
OMN,Oman,OMN-ADM1-1590546715-B2,Al Batinah,Total,Com,S/LFM+CDM/HBET:8-/COM,1.0,7354230.0,1470846.0,2573981.0,3309404.0,3093.0,0.0,340.11,35.05,78.87
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDL/H:1/COM,178.0,32017983.0,8004495.0,11206294.0,12807192.0,23144.0,0.0,2519.49,259.68,584.28
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDL/H:2/COM,133.0,53665929.0,13416483.0,18783075.0,21466373.0,34715.0,0.0,3779.11,389.51,876.39
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDL/H:3/COM,149.0,112979803.0,28244950.0,39542931.0,45191921.0,66759.0,0.0,7267.45,749.04,1685.35
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDL/HBET:4-7/COM,143.0,344960224.0,86240057.0,120736078.0,137984090.0,170902.0,0.0,18604.57,1917.54,4314.46
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDL/HBET:8-/COM,16.0,128082936.0,32020734.0,44829026.0,51233174.0,54544.0,0.0,5937.719999999999,611.98,1376.98
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDM/H:1/COM,59.0,10672662.0,2668165.0,3735431.0,4269062.0,7715.0,0.0,839.8600000000001,86.57,194.78
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDM/H:2/COM,45.0,17888642.0,4472160.0,6261025.0,7155457.0,11572.0,0.0,1259.74,129.84,292.13
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDM/H:3/COM,49.0,37659934.0,9414984.0,13180978.0,15063975.0,22253.0,0.0,2422.49,249.68,561.78
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDM/HBET:4-7/COM,48.0,114986741.0,28746685.0,40245359.0,45994697.0,56968.0,0.0,6201.6,639.17,1438.18
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LDUAL+CDM/HBET:8-/COM,6.0,39265061.0,9816265.0,13742771.0,15706024.0,16771.0,0.0,1825.71,188.17000000000002,423.39
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LFINF+CDL/H:1/COM,332.0,61015594.0,15253898.0,21355457.0,24406238.0,43321.0,0.0,4715.98,486.07,1093.65
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LFINF+CDL/H:2/COM,250.0,99981826.0,24995457.0,34993640.0,39992730.0,64984.0,0.0,7074.23,729.12,1640.54
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LFINF+CDL/H:3/COM,278.0,215262920.0,53815728.0,75342021.0,86105168.0,124967.0,0.0,13604.05,1402.1399999999999,3154.8199999999997
OMN,Oman,OMN-ADM1-1590546715-B3,Az Zahirah,Total,Com,CR/LFINF+CDL/HBET:4-7/COM,267.0,655985629.0,163996407.0,229594971.0,262394251.0,319917.0,0.0,34826.490000000005,3589.51,8076.38
